ART_COD	ART_DIV	ART_FAM	ART_DES	ART_HT1	ART_TTC1	ART_TVA	ART_TVA2	ART_UN1	ART_UN2	ART_1A2	ART_SV1	ART_SV2	ART_CAF	ART_PDU	ART_PAU	ART_CPT	ART_CPT2	ART_PRI	ART_QT1	ART_QT2	ART_REB	ART_GTVA	ART_GTVA2	ART_HT2	ART_TTC2	ART_HT3	ART_TTC3	ART_LOT	ART_SE1	ART_SS1	ART_ST1	ART_SE2	ART_SS2	ART_ST2	ART_AP1	ART_AP2	ART_DNS	ART_PRF	ART_TAR	ART_SQ2	ART_SQ3	ART_PC2	ART_PC3	ART_SR1	ART_SR2	ART_COM	ART_TXC	ART_BRT	ART_TRC	ART_DOS	ART_TX1	ART_TX2	ART_TX3	ART_ECTY	ART_ECOL	ART_ECUN	ART_ECOEF
DEPLA		SCE	D‚placement	0.43	0.51	19.60	0.00			160.0000	0.0000	76.80	01/01/2007	31/12/2007	7062		0	2	0		D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-3108.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.43		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000									
DEVEL		DEV	D‚veloppement logiciel	314.04	375.59	19.60	0.00	JR		0.0000	0.0000	0.00	01/01/2007	31/12/2007	7064		0	2	0		E		0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-232564.0000	0.0000	0.0000	0.0000	0.0000	0.0000		314.04		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
E2+D		E-2	EPICEA-2 * Option 2 dossiers	0.00	0.00	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70671		0	0	0	O	E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-48.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.00	01	0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
E2MONO		E-2	EPICEA-2 * Mono-dossier * Version 1.41	420.00	502.32	19.60	19.60			0.0000	0.0000	0.00	01/01/2007	31/12/2007	70671	6222	0	0	0		E	E	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-592.5000	0.0000	0.0000	0.0000	0.0000	0.0000		420.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
E2+F		F2	E2-FAC Version 2.40 * Base EPICEA-2	150.92	180.50	19.60	0.00			0.0000	0.0000	0.00	01/01/2007	31/12/2007	70673		0	0	0	O	E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-50.0000	0.0000	0.0000	0.0000	0.0000	0.0000		150.92		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
ET1491F		LIS	3000 Etiquettes 149 x 48,8 mm - 1 de front	35.90	42.94	19.60	0.00	BT		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	2	0		D		0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-40.0000	0.0000	0.0000	0.0000	0.0000	0.0000		35.90		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
ET891F		LIS	4000 Etiquettes 89 x 36,1 mm - 1 de front	31.40	37.55	19.60	0.00	BT		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	0	0		D	D	29.88	35.74	0.00	0.00	FAUX	0.0000	0.0000	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000		31.40		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
INTERMAI		MAI	Intervention maintenance	25.00	29.90	19.60	0.00	HR		2.5000	0.0000	75.00	01/01/2007	31/12/2007	70650		0	1	0		E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-715.9000	0.0000	0.0000	-2.0000	0.0000	0.0000		25.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
FORMA		SCE	Formation	12.00	14.35	19.60	0.00			9.5000	0.0000	390.00	01/01/2007	31/12/2007	7062		0	1	0		E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-2385.5000	0.0000	0.0000	0.0000	0.0000	0.0000		12.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
INTERMAT		SCE	Intervention sur mat‚riel	25.00	29.90	19.60	0.00	H		0.0000	0.0000	0.00	01/01/2007	31/12/2007	7063		0	2	0		E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-184.3000	0.0000	0.0000	0.0000	0.0000	0.0000		25.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
IOCCA		IMP	Imprimante occasion	0.00	0.00	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70714		0	0	0		D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
LI1260		LIS	"Papier listing 240 mm x 12"" - 60 gr - 1+0 - 2500 f."	27.44	32.82	19.60	0.00	CA		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	0	0	O	D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000		27.44		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
LI1270		LIS	"Papier listing 240 mm x 12"" - 70 gr - 1+0 - 2000 f."	34.00	40.66	19.60	0.00	CA		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	0	0	O	D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-100.0000	0.0000	0.0000	0.0000	0.0000	0.0000		34.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
LI4A70		LIS	"Papier listing 240 mm x 11"" 4/6 - 70 gr - 2500 f."	51.60	61.71	19.60	0.00	CA		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	2	0	O	D		0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000		51.60		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
LOGDIV		LOG	Logiciel	0.00	0.00	19.60	0.00			19.0000	0.0000	590.00	01/01/2007	31/12/2007	70717		0	0	0		D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-388.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000	
MOCCA		MIC	Micro-ordinateur occasion	0.00	0.00	19.60	20.60	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70716	60716	0	2	0		D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
PHOTOCO		SCE	Photocopies	0.18	0.22	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	7062		0	2	0		E		0.17	0.20	0.00	0.00	FAUX	0.0000	0.0000	-30374.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.18	01	0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000								
PORT		FRA	Participation aux frais de port	2.29	2.74	19.60	0.00			20.0000	0.0000	120.38	01/01/2007	31/12/2007	7085		0	0	0		D	D	4.57	5.47	9.15	10.94	FAUX	0.0000	0.0000	-638.0000	0.0000	0.0000	0.0000	0.0000	0.0000		2.29		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
LSOUVERT		LSC	Ouverture nouveau dossier	38.11	45.58	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	7066		0	2	0		E		0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000		38.11		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000								
LSFORFAIT		LSC	Forfait tenue comptabilit‚	274.41	328.19	19.60	0.00			1.0000	0.0000	275.00	01/01/2007	31/12/2007	7066		0	0	0		E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-183.9200	0.0000	0.0000	0.0000	0.0000	0.0000		274.41		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
F2MONO		F2	E2-FAC * Version 2.41	125.00	149.50	19.60	19.60			7.0000	0.0000	0.00	01/01/2007	31/12/2007	70673	6222	0	0	0		E	E	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-133.0000	0.0000	0.0000	0.0000	0.0000	0.0000		125.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
E2+A		E-2	EPICEA-2 * Option Analytique	74.70	89.34	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70671		0	0	0	O	E	E	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-141.0000	0.0000	0.0000	0.0000	0.0000	0.0000		74.70		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
ET1071F		LIS	3000 Etiquettes 107 x 48,8 mm - 1 de front	34.91	41.75	19.60	0.00	BT		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	0	0		D	D	33.08	39.56	0.00	0.00	FAUX	0.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000		34.91		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
EXTGAR		MIC	Extension de garantie -2,3 ans sur site/atelier-	269.07	321.81	19.60	0.00	UN		1.0000	0.0000	140.00	01/01/2007	31/12/2007	70716		0	0	0		D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000		269.07		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
E2+P		E-2	EPICEA-2 * Option Pr‚visionnel	150.92	180.50	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70671		0	0	2	O	E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-29.0000	0.0000	0.0000	0.0000	0.0000	0.0000		150.92		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
FRAIS		FRA	Remboursement de frais	0.00	0.00	19.60	0.00	Un		0.0000	0.0000	0.00	01/01/2007	31/12/2007	7088		0	2	2		E		0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-79.3000	0.0000	0.0000	0.0000	0.0000	0.0000		0.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000								
F2COM		F2	E2-FAC Gestion commerciale	759.20	908.00	19.60	0.00	UN		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70673		0	2	2		E		0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000								
LSCLOT		LSC	Assistance sur l'utilisation pour cl“ture d'ex c de	25.00	29.90	19.60	0.00	He		0.0000	0.0000	0.00	01/01/2007	31/12/2007	7066		0	2	2		E	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-220.1500	0.0000	0.0000	0.0000	0.0000	0.0000		25.00		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
E2GRP		E-2	EPICEA-2 * Groupe * Version 1.40	987.87	1181.49	19.60	0.00			0.0000	0.0000	0.00	01/01/2007	31/12/2007	70671		0	0	0		E	E	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000		987.87		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
ET1251F		LIS	BoŒte de 2000 ‚tiquettes 125x74 - 1 de front	34.45	41.20	19.60	0.00	Bt		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70715		0	0	0		D	D	0.00	0.00	0.00	0.00	FAUX	0.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000		34.45		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
HE96MO		MAI	Maintenance EPICEA-2 du 01/01/96 au 31/12/96	13.72	16.41	19.60	0.00	Ms		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70651		0	0	2	O	E	D	12.04	14.40	0.00	0.00	FAUX	0.0000	0.0000	-4476.0000	0.0000	0.0000	0.0000	0.0000	0.0000		13.72		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
HF96MO		MAI	Maintenance E2-FAC du 01/01/96 au 31/12/96	6.56	7.85	19.60	0.00	Ms		0.0000	0.0000	0.00	01/01/2007	31/12/2007	70653		0	2	2	O	E		5.79	6.93	0.00	0.00	FAUX	0.0000	0.0000	-1141.0000	0.0000	0.0000	0.0000	0.0000	0.0000		6.56		0.0000	0.0000	0.00	0.00	0.0000	0.0000	FAUX	0.00	FAUX	0.0000						0		0.000000
