InfosDossier
InfosDossier;Dossier;91944
InfosDossier;Code_Exercice;06
InfosDossier;Nom_Exercice;2006
InfosDossier;Raison sociale;E.A.R.L DUCOM LABASTIDE
InfosDossier;Debut;01/07/2005
InfosDossier;Fin;30/06/2006
InfosDossier;Adresse1;"GRAND BLAYE"
InfosDossier;Adresse2;.
InfosDossier;cp;40500
InfosDossier;ville;FARGUES
InfosDossier;Gestion derog;Faux
5B1;compte;debit;credit
5B1;2313;1000;0
5B2;compte;debit;credit
5B2;2154;327.13;0
6B1;compte;debit;credit
6B1;205;125.53;0
6B1;2121;1016.67;0
6B1;21311;4648.4;0
6B1;2154;16926.91;0
6B1;2461;232.35;0
6B2;compte;debit;credit
6B2;;;0
6A3;compte;debit;credit
6A3;2154;327.13;0
6C4;compte;debit;credit
6C5;compte;debit;credit
Bilan;Compte;Debit_Report;Credit_Report;Debit_base;Credit_base;debit_total;credit_total
Bilan;1010;0;176078.61;0;0;0;176078.61
Bilan;1052;0;43683.99;0;0;0;43683.99
Bilan;106;0;8225.8;0;0;0;8225.8
Bilan;129;12856.72;0;0;0;0;0
Bilan;151;0;0;0;0;0;4708.55
Bilan;1642;0;50824.49;0;0;0;36377.05
Bilan;16884;0;1253;0;0;0;898
Bilan;205;168;0;0;0;168;0
Bilan;2111;3811.23;0;0;0;3811.23;0
Bilan;2121;3050;0;0;0;3050;0
Bilan;21311;69166.5;0;0;0;69166.5;0
Bilan;2154;138441.78;0;0;0;140409.1;0
Bilan;2313;0;0;0;0;0;0
Bilan;2461;2813.42;0;0;0;2813.42;0
Bilan;261;0;0;0;0;0;0
Bilan;2621;5124.21;0;0;0;5275.69;0
Bilan;2751;1631.88;0;0;0;1631.88;0
Bilan;2805;0;42.47;0;0;0;168
Bilan;28121;0;765.32;0;0;0;1781.99
Bilan;2813;0;23608.78;0;0;0;23608.78
Bilan;281311;0;5187.31;0;0;0;9835.71
Bilan;28154;0;92186.18;0;0;0;108785.96
Bilan;2846;0;1910.11;0;0;0;1910.11
Bilan;28461;0;424.73;0;0;0;657.08
Bilan;3014801;433.95;0;0;0;1085.61;0
Bilan;3021;630;0;0;0;272;0
Bilan;3027801;252;0;0;0;0;0
Bilan;3111;146135;0;0;0;126260;0
Bilan;34110;2606.16;0;0;0;5394.27;0
Bilan;34117;14312.32;0;0;0;17722.52;0
Bilan;341315;3225.2;0;0;0;3309.72;0
Bilan;3415;14307;0;0;0;16856;0
Bilan;37417;5631;0;0;0;4085.4;0
Bilan;37801;10320;0;0;0;12800;0
Bilan;391;0;2099;0;0;0;2286
Bilan;401;0;20582.95;0;0;0;10521.39
Bilan;402;0;6571.46;0;0;0;8786.59
Bilan;4081;0;7219.94;0;0;0;6632.47
Bilan;411;2609.18;0;0;0;850;0
Bilan;412;0;0;0;0;0;0
Bilan;4181;316;0;0;0;316;0
Bilan;431;0;2520.8;0;0;0;1002.6
Bilan;4417;11852;0;0;0;11511;0
Bilan;44562;0;0;0;0;392;0
Bilan;44566;0;164.3;0;0;42.73;0
Bilan;44567;0;0;0;0;0;0
