2021-09-07 09:16:23,886 INFO  [org.jboss.modules] (CLI command executor) JBoss Modules version 1.9.1.Final
2021-09-07 09:16:24,308 INFO  [org.jboss.msc] (CLI command executor) JBoss MSC version 1.4.8.Final
2021-09-07 09:16:24,328 INFO  [org.jboss.threads] (CLI command executor) JBoss Threads version 2.3.3.Final
2021-09-07 09:16:24,487 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Full 17.0.1.Final (WildFly Core 9.0.2.Final) starting
2021-09-07 09:16:25,864 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 1.9.1.Final
2021-09-07 09:16:26,635 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=balancing/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2021-09-07 09:16:26,648 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2021-09-07 09:16:27,382 INFO  [org.jboss.as.patching] (MSC service thread 1-6) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2021-09-07 09:16:27,482 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-1) WFLYDM0111: Keystore /ssd/docker/domaine/wildfly-17.0.1.Final.lgr/domain/configuration/application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2021-09-07 09:16:27,912 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 17.0.1.Final (WildFly Core 9.0.2.Final) (Host Controller) started in 3924ms - Started 68 of 74 services (30 services are lazy, passive or on-demand)
2021-09-07 16:24:37,655 INFO  [org.jboss.as] (MSC service thread 1-5) WFLYSRV0050: WildFly Full 17.0.1.Final (WildFly Core 9.0.2.Final) stopped in 22ms
